case_id,type,expected,predicted,threat_score,status,factor,raw_text
CASE_132,Civic Update,SAFE,SAFE,0.052,PASS,"Content classified as Civic Announcement, indicating harmless civic communication, resulting in low threat.",[BLINDED FOR FUSION EVALUATION - TYPE: CIVIC UPDATE]
CASE_133,Counter-Speech,LOW_RISK,LOW_RISK,0.161,PASS,"The content is classified as counter-speech, indicating low threat severity.",[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_134,Counter-Speech,LOW_RISK,LOW_RISK,0.247,PASS,"Content is classified as counter-speech, indicating benign intent, resulting in low risk.",[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_135,Satire/Sports,SAFE / LOW_RISK,SAFE,0.109,PASS,"Content classified as harmless sports/political satire, indicating no threat escalation.",[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_136,Direct Threat,HIGH_THREAT,HIGH_THREAT,0.821,PASS,Elevated radicalization index combined with network clustering drives the threat score into the high threat range.,[BLINDED FOR FUSION EVALUATION - TYPE: DIRECT THREAT]
CASE_137,Counter-Speech,LOW_RISK,LOW_RISK,0.207,PASS,"Content is categorized as Counter-Speech, indicating benign intent, resulting in low risk.",[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_138,Civic Update,SAFE,SAFE,0.064,PASS,"Content classified as civic announcement with low threat severity, indicating no escalation.",[BLINDED FOR FUSION EVALUATION - TYPE: CIVIC UPDATE]
CASE_139,Direct Threat,HIGH_THREAT,HIGH_THREAT,0.827,PASS,Elevated radicalization index combined with network clustering penalty drives the threat score into the high threat range.,[BLINDED FOR FUSION EVALUATION - TYPE: DIRECT THREAT]
CASE_140,Veiled Mobilization,MODERATE_RISK,MODERATE_RISK,0.538,PASS,Escalation driven by veiled community coordination and bot swarm penalty raising the threat score into the moderate risk band.,[BLINDED FOR FUSION EVALUATION - TYPE: VEILED MOBILIZATION]
CASE_141,Civic Update,SAFE,SAFE,0.039,PASS,"Content classified as Civic Announcement, indicating harmless civic communication, resulting in low threat.",[BLINDED FOR FUSION EVALUATION - TYPE: CIVIC UPDATE]
CASE_142,Direct Threat,HIGH_THREAT,HIGH_THREAT,0.756,PASS,High radicalization index combined with network clustering drives threat score into HIGH_THREAT tier.,[BLINDED FOR FUSION EVALUATION - TYPE: DIRECT THREAT]
CASE_143,Veiled Mobilization,MODERATE_RISK,MODERATE_RISK,0.493,PASS,Escalation driven by violent intent probability plus bot swarm penalty.,[BLINDED FOR FUSION EVALUATION - TYPE: VEILED MOBILIZATION]
CASE_144,Veiled Mobilization,MODERATE_RISK,MODERATE_RISK,0.420,PASS,Escalation driven by bot swarm penalty added to violent intent probability.,[BLINDED FOR FUSION EVALUATION - TYPE: VEILED MOBILIZATION]
CASE_145,Satire/Sports,SAFE / LOW_RISK,SAFE,0.114,PASS,Content classified as Sports/Political Satire with low threat severity indicates no escalation.,[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_146,Satire/Sports,SAFE / LOW_RISK,SAFE,0.146,PASS,Content classified as harmless satire leads to no escalation.,[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_147,Counter-Speech,LOW_RISK,LOW_RISK,0.257,PASS,"Content classified as counter-speech, indicating low threat potential.",[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_148,Counter-Speech,LOW_RISK,LOW_RISK,0.243,PASS,"Content classified as Counter-Speech with low threat severity, indicating minimal risk.",[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_149,Direct Threat,HIGH_THREAT,HIGH_THREAT,0.800,PASS,Elevated radicalization index combined with network clustering drives high threat score.,[BLINDED FOR FUSION EVALUATION - TYPE: DIRECT THREAT]
CASE_150,Veiled Mobilization,MODERATE_RISK,MODERATE_RISK,0.630,PASS,The veiled coordination and detected bot swarm increase the threat score from the base severity.,[BLINDED FOR FUSION EVALUATION - TYPE: VEILED MOBILIZATION]
CASE_151,Civic Update,SAFE,SAFE,0.074,PASS,"Content classified as Civic Announcement, indicating harmless civic communication, resulting in low threat.",[BLINDED FOR FUSION EVALUATION - TYPE: CIVIC UPDATE]
CASE_152,Civic Update,SAFE,SAFE,0.059,PASS,"Content is classified as a civic announcement, indicating harmless communication.",[BLINDED FOR FUSION EVALUATION - TYPE: CIVIC UPDATE]
CASE_153,Veiled Mobilization,MODERATE_RISK,MODERATE_RISK,0.435,PASS,Veiled community coordination plus bot swarm presence raises violent intent probability into the moderate risk range.,[BLINDED FOR FUSION EVALUATION - TYPE: VEILED MOBILIZATION]
CASE_154,Satire/Sports,SAFE / LOW_RISK,SAFE,0.103,PASS,"Content is Sports/Political Satire with low threat severity, indicating no escalation.",[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_155,Veiled Mobilization,MODERATE_RISK,MODERATE_RISK,0.435,PASS,Escalation due to veiled community coordination and bot swarm penalty increasing the threat score.,[BLINDED FOR FUSION EVALUATION - TYPE: VEILED MOBILIZATION]
CASE_156,Civic Update,SAFE,SAFE,0.087,PASS,"Content classified as Civic Announcement, indicating harmless civic communication, resulting in low threat.",[BLINDED FOR FUSION EVALUATION - TYPE: CIVIC UPDATE]
CASE_157,Counter-Speech,LOW_RISK,LOW_RISK,0.195,PASS,"Content classified as Counter-Speech indicates benign intent, keeping threat low.",[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_158,Civic Update,SAFE,SAFE,0.086,PASS,"Content is civic announcement with low threat severity, indicating no escalation.",[BLINDED FOR FUSION EVALUATION - TYPE: CIVIC UPDATE]
CASE_159,Counter-Speech,LOW_RISK,LOW_RISK,0.227,PASS,"Content classified as Counter-Speech indicates benign intent, keeping threat low.",[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_160,Civic Update,SAFE,SAFE,0.044,PASS,"Content classified as Civic Announcement, indicating harmless civic communication, resulting in low threat.",[BLINDED FOR FUSION EVALUATION - TYPE: CIVIC UPDATE]
CASE_161,Direct Threat,HIGH_THREAT,HIGH_THREAT,0.861,PASS,High radicalization index combined with network clustering pushes the score into the HIGH_THREAT tier.,[BLINDED FOR FUSION EVALUATION - TYPE: DIRECT THREAT]
CASE_162,Counter-Speech,LOW_RISK,LOW_RISK,0.172,PASS,"Content classified as Counter-Speech indicates benign intent, keeping risk low.",[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_163,Satire/Sports,SAFE / LOW_RISK,SAFE,0.142,PASS,"Content classified as harmless satire, indicating no escalation.",[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_164,Civic Update,SAFE,SAFE,0.099,PASS,"Content classified as Civic Announcement, indicating harmless civic communication, resulting in low threat.",[BLINDED FOR FUSION EVALUATION - TYPE: CIVIC UPDATE]
CASE_165,Counter-Speech,LOW_RISK,LOW_RISK,0.166,PASS,Content classified as Counter-Speech with low threat severity indicates minimal risk.,[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_166,Civic Update,SAFE,SAFE,0.018,PASS,"Content is categorized as civic announcement, indicating low threat.",[BLINDED FOR FUSION EVALUATION - TYPE: CIVIC UPDATE]
CASE_167,Satire/Sports,SAFE / LOW_RISK,SAFE,0.053,PASS,"Content is classified as harmless satire with low threat severity, indicating no escalation.",[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_168,Counter-Speech,LOW_RISK,LOW_RISK,0.287,PASS,"Content classified as Counter-Speech indicates benign intent, keeping risk low.",[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_169,Counter-Speech,LOW_RISK,LOW_RISK,0.151,PASS,Content classified as counter-speech indicates low threat potential.,[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_170,Civic Update,SAFE,SAFE,0.018,PASS,"Content classified as Civic Announcement indicates harmless civic communication, resulting in low threat.",[BLINDED FOR FUSION EVALUATION - TYPE: CIVIC UPDATE]
CASE_171,Satire/Sports,SAFE / LOW_RISK,SAFE,0.074,PASS,"Content is classified as satire with low threat severity, indicating no escalation.",[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_172,Direct Threat,HIGH_THREAT,HIGH_THREAT,0.891,PASS,High radicalization index combined with network clustering penalty elevates threat to HIGH_THREAT.,[BLINDED FOR FUSION EVALUATION - TYPE: DIRECT THREAT]
CASE_173,Veiled Mobilization,MODERATE_RISK,MODERATE_RISK,0.532,PASS,Veiled community coordination combined with bot swarm probability raises the threat score from low to moderate.,[BLINDED FOR FUSION EVALUATION - TYPE: VEILED MOBILIZATION]
CASE_174,Satire/Sports,SAFE / LOW_RISK,SAFE,0.089,PASS,"Content is classified as harmless sports/political satire, indicating low threat.",[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_175,Direct Threat,HIGH_THREAT,HIGH_THREAT,0.848,PASS,"Elevated radicalization index combined with network clustering adds 0.050, pushing score into high threat range.",[BLINDED FOR FUSION EVALUATION - TYPE: DIRECT THREAT]
CASE_176,Direct Threat,HIGH_THREAT,HIGH_THREAT,0.943,PASS,High radicalization index (0.893) plus network clustering penalty escalates threat to high tier.,[BLINDED FOR FUSION EVALUATION - TYPE: DIRECT THREAT]
CASE_177,Veiled Mobilization,MODERATE_RISK,MODERATE_RISK,0.653,PASS,Escalation driven by elevated violent intent probability (0.533) plus bot swarm penalty (0.120).,[BLINDED FOR FUSION EVALUATION - TYPE: VEILED MOBILIZATION]
CASE_178,Civic Update,SAFE,SAFE,0.077,PASS,"Content classified as Civic Announcement, indicating harmless civic content, leading to low threat assessment.",[BLINDED FOR FUSION EVALUATION - TYPE: CIVIC UPDATE]
CASE_179,Civic Update,SAFE,SAFE,0.054,PASS,"Content classified as Civic Announcement with low threat severity, indicating no escalation.",[BLINDED FOR FUSION EVALUATION - TYPE: CIVIC UPDATE]
CASE_180,Direct Threat,HIGH_THREAT,HIGH_THREAT,0.810,PASS,Elevated radicalization index combined with network clustering drives the score into the high-threat tier.,[BLINDED FOR FUSION EVALUATION - TYPE: DIRECT THREAT]
CASE_181,Civic Update,SAFE,SAFE,0.061,PASS,"Content classified as civic announcement with low threat severity, indicating no escalation.",[BLINDED FOR FUSION EVALUATION - TYPE: CIVIC UPDATE]
CASE_182,Direct Threat,HIGH_THREAT,HIGH_THREAT,0.759,PASS,Elevated radicalization index combined with network clustering drives the score into the high-threat range.,[BLINDED FOR FUSION EVALUATION - TYPE: DIRECT THREAT]
CASE_183,Civic Update,SAFE,SAFE,0.065,PASS,"Content classified as Civic Announcement, indicating harmless civic communication, resulting in low threat.",[BLINDED FOR FUSION EVALUATION - TYPE: CIVIC UPDATE]
CASE_184,Satire/Sports,SAFE / LOW_RISK,SAFE,0.074,PASS,"Content classified as Sports/Political Satire is deemed harmless, resulting in no escalation.",[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_185,Counter-Speech,LOW_RISK,LOW_RISK,0.162,PASS,"Content classified as Counter-Speech with low threat severity, indicating minimal risk.",[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_186,Counter-Speech,LOW_RISK,LOW_RISK,0.271,PASS,"Content classified as counter-speech indicates no harmful intent, resulting in low risk.",[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_187,Veiled Mobilization,MODERATE_RISK,MODERATE_RISK,0.463,PASS,Veiled community coordination combined with bot swarm probability elevates threat to moderate risk.,[BLINDED FOR FUSION EVALUATION - TYPE: VEILED MOBILIZATION]
CASE_188,Satire/Sports,SAFE / LOW_RISK,SAFE,0.122,PASS,"Content classified as harmless sports/political satire with low severity, indicating no threat escalation.",[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_189,Veiled Mobilization,MODERATE_RISK,MODERATE_RISK,0.626,PASS,Escalation driven by adding bot swarm penalty to violent intent probability.,[BLINDED FOR FUSION EVALUATION - TYPE: VEILED MOBILIZATION]
CASE_190,Veiled Mobilization,MODERATE_RISK,MODERATE_RISK,0.559,PASS,"Veiled coordination detected, violent intent probability elevated with bot swarm penalty.",[BLINDED FOR FUSION EVALUATION - TYPE: VEILED MOBILIZATION]
CASE_191,Satire/Sports,SAFE / LOW_RISK,SAFE,0.051,PASS,"Content classified as harmless satire leads to no escalation, maintaining low threat.",[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_192,Satire/Sports,SAFE / LOW_RISK,SAFE,0.065,PASS,"Content classified as Sports/Political Satire, indicating harmless satire, resulting in low threat.",[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_193,Satire/Sports,SAFE / LOW_RISK,SAFE,0.111,PASS,"Content classified as harmless political satire, indicating no threat escalation.",[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_194,Veiled Mobilization,MODERATE_RISK,MODERATE_RISK,0.647,PASS,"The bot swarm penalty increases the score, reflecting elevated coordination risk.",[BLINDED FOR FUSION EVALUATION - TYPE: VEILED MOBILIZATION]
CASE_195,Counter-Speech,LOW_RISK,LOW_RISK,0.159,PASS,"Content is classified as Counter-Speech, indicating benign intent, keeping risk low.",[BLINDED FOR FUSION EVALUATION - TYPE: COUNTER-SPEECH]
CASE_196,Satire/Sports,SAFE / LOW_RISK,SAFE,0.057,PASS,Content classified as Sports/Political Satire with low threat severity indicates no escalation.,[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_197,Satire/Sports,SAFE / LOW_RISK,SAFE,0.076,PASS,Content classified as Sports/Political Satire with low threat severity indicates no escalation.,[BLINDED FOR FUSION EVALUATION - TYPE: SATIRE/SPORTS]
CASE_198,Direct Threat,HIGH_THREAT,HIGH_THREAT,0.790,PASS,Elevated radicalization index combined with network clustering drives the score into the high-threat tier.,[BLINDED FOR FUSION EVALUATION - TYPE: DIRECT THREAT]
CASE_199,Veiled Mobilization,MODERATE_RISK,MODERATE_RISK,0.480,PASS,Increased score due to bot swarm penalty added to violent intent probability.,[BLINDED FOR FUSION EVALUATION - TYPE: VEILED MOBILIZATION]
CASE_200,Civic Update,SAFE,SAFE,0.031,PASS,"Content classified as Civic Announcement with low threat severity, indicating no escalation.",[BLINDED FOR FUSION EVALUATION - TYPE: CIVIC UPDATE]
